Row,Col,Value
0,0,1.0
1,1,1.0
2,2,1.0
3,3,1.0
4,4,1.0
5,5,1.0
5,1,1.0
6,6,1.0
6,5,1.0
7,7,1.0
8,8,1.0
9,9,1.0
9,4,1.0
10,10,1.0
10,4,1.0
10,6,1.0
10,8,1.0
11,11,1.0
12,12,1.0
13,13,1.0
13,8,1.0
14,14,1.0
14,3,1.0
14,7,1.0
14,8,1.0
15,15,1.0
16,16,1.0
16,7,1.0
17,17,1.0
18,18,1.0
18,0,1.0
18,3,1.0
18,8,1.0
18,11,1.0
18,14,1.0
19,19,1.0
19,18,1.0
20,20,1.0
20,15,1.0
20,19,1.0
21,21,1.0
21,3,1.0
21,4,1.0
22,22,1.0
23,23,1.0
23,5,1.0
23,6,1.0
24,24,1.0
24,4,1.0
24,5,1.0
24,22,1.0
25,25,1.0
25,18,1.0
25,24,1.0
26,26,1.0
26,5,1.0
26,6,1.0
26,7,1.0
26,11,1.0
27,27,1.0
27,15,1.0
28,28,1.0
29,29,1.0
29,11,1.0
29,20,1.0
30,30,1.0
30,4,1.0
30,20,1.0
30,22,1.0
30,29,1.0
31,31,1.0
32,32,1.0
32,6,1.0
32,7,1.0
32,9,1.0
32,11,1.0
32,13,1.0
33,33,1.0
33,9,1.0
33,12,1.0
33,15,1.0
34,34,1.0
34,22,1.0
35,35,1.0
35,0,1.0
35,1,1.0
35,2,1.0
36,36,1.0
36,8,1.0
36,20,1.0
36,25,1.0
36,30,1.0
37,37,1.0
37,3,1.0
37,4,1.0
37,17,1.0
38,38,1.0
38,3,1.0
38,6,1.0
38,8,1.0
38,20,1.0
38,24,1.0
38,34,1.0
39,39,1.0
39,0,1.0
39,9,1.0
39,10,1.0
39,35,1.0
40,40,1.0
40,1,1.0
40,5,1.0
40,36,1.0
41,41,1.0
41,1,1.0
41,25,1.0
41,27,1.0
42,42,1.0
42,3,1.0
42,12,1.0
42,15,1.0
42,33,1.0
43,43,1.0
43,4,1.0
43,8,1.0
43,9,1.0
43,12,1.0
43,32,1.0
43,35,1.0
43,38,1.0
44,44,1.0
44,8,1.0
44,21,1.0
44,26,1.0
44,30,1.0
44,39,1.0
44,40,1.0
45,45,1.0
45,0,1.0
45,37,1.0
45,38,1.0
45,42,1.0
46,46,1.0
46,2,1.0
46,17,1.0
46,25,1.0
46,37,1.0
47,47,1.0
47,12,1.0
47,21,1.0
47,28,1.0
47,33,1.0
47,35,1.0
47,44,1.0
48,48,1.0
48,32,1.0
48,40,1.0
49,49,1.0
49,26,1.0
49,31,1.0
49,41,1.0
49,47,1.0
50,50,1.0
50,5,1.0
50,12,1.0
50,24,1.0
50,29,1.0
50,33,1.0
51,51,1.0
51,2,1.0
51,20,1.0
51,40,1.0
51,46,1.0
51,48,1.0
51,49,1.0
52,52,1.0
52,7,1.0
52,8,1.0
52,20,1.0
52,36,1.0
52,38,1.0
52,42,1.0
53,53,1.0
53,19,1.0
53,39,1.0
53,45,1.0
53,49,1.0
53,51,1.0
54,54,1.0
54,0,1.0
54,3,1.0
54,11,1.0
54,24,1.0
54,46,1.0
55,55,1.0
55,5,1.0
55,21,1.0
56,56,1.0
56,5,1.0
56,6,1.0
56,13,1.0
56,16,1.0
56,17,1.0
56,41,1.0
56,44,1.0
56,51,1.0
56,53,1.0
57,57,1.0
57,10,1.0
57,18,1.0
57,26,1.0
57,45,1.0
58,58,1.0
58,3,1.0
58,10,1.0
58,20,1.0
58,28,1.0
58,32,1.0
58,57,1.0
59,59,1.0
59,1,1.0
59,4,1.0
59,13,1.0
59,14,1.0
59,20,1.0
59,26,1.0
59,47,1.0
59,48,1.0
59,57,1.0
